id,predecessor,successor,type,lag_h,lag_calendar,test_tags,note
R0001,A1000,A1010,SS,0,,loe_span_start,
R0002,A1010,A13000,FF,0,,loe_span_end,
R0003,A4100,A1020,SS,0,,loe_span_start,
R0004,A1020,A12000,FF,0,,loe_span_end,
R0005,A3000,A1030,SS,0,,loe_span_start,
R0006,A1030,A12500,FF,0,,loe_span_end,
R0007,A1000,A1040,SS,0,,loe_span_start,
R0008,A1040,A13000,FF,0,,loe_span_end,
R0009,A7100,A3100,SS,0,,loe_span_start,
R0010,A3100,A9200,FF,0,,loe_span_end,
R0011,A1000,A2000,FS,0,,con_start_on,Logic says A2000 could start on 05-Jan; the START_ON constraint pins it to 19-Jan. Tests that START_ON overrides a permissive predecessor in the forward pass AND is not pulled earlier by the backward pass.
R0012,A2100,A2110,FS,80,,rel_fs;lag_positive,
R0013,A2110,A2120,FS,160,,rel_fs;lag_positive;net_external_vs_internal,A2120 has BOTH internal logic (this edge) and an external_early_start of 2026-04-13. The later of the two must drive. Toggle 'ignore relationships to/from other projects' and confirm which one wins.
R0014,A2110,A2300,FS,40,,rel_fs;lag_positive,
R0015,A2110,A2310,FS,320,,rel_fs;lag_positive,
R0016,A2120,A2320,FS,240,,rel_fs;lag_positive,
R0017,A2320,A2330,FS,160,,rel_fs;lag_positive,
R0018,A1000,A3000,FS,0,,rel_fs;lag_zero,
R0019,A3000,A3010,FS,0,,,
R0020,A2000,A3010,FS,0,,net_multiple_predecessors,
R0021,A3000,A3020,FS,0,,,
R0022,A3010,A3030,FS,0,,,
R0023,A3020,A3040,FS,0,,,
R0024,A3030,A5500,FS,0,,cal_night_crosses_midnight,Night shift bolt-up needs temporary lighting. Gives the completed A3030 a successor.
R0025,A3040,A6100,FS,0,,prog_stopped_zero_remaining,"A3040 is STOPPED (RD=0, no actual finish). Its remaining early finish = the DATA DATE, and that must propagate into A6100. If your engine leaves A3040's finish null, this successor breaks."
R0026,A8700,A3800,SF,0,,rel_sf;lag_sf_zero,"START-TO-FINISH, zero lag. Temp power must not FINISH until permanent power STARTS. Forward pass: EF(succ) >= ES(pred) + 0. Then ES(succ) = EF(succ) - RD(succ)."
R0027,A3800,A3900,FS,0,,,
R0028,A3010,A4100,FS,0,,,
R0029,A2100,A4100,FS,0,,net_multiple_predecessors,
R0030,A4100,A4110,SS,60,,rel_ss;lag_positive,
R0031,A4110,A4200,FS,0,,,
R0032,A4200,A4210,SS,40,,rel_ss;lag_positive,
R0033,A4200,A4220,FS,0,,rel_fs;prog_out_of_sequence,The out-of-sequence edge. A4220 has an actual start while A4200 is only 40%% complete.
R0034,A4200,A4230,SS,48,,rel_ss;lag_positive,
R0035,A4230,A4300,FS,0,,,
R0036,A4220,A4300,FS,0,,retained_logic_vs_progress_override,"THE DISCRIMINATOR EDGE. A4220 is out of sequence. Under RETAINED LOGIC its remaining work waits for A4200 (remaining finish ~16-Mar), so A4300 starts ~19-Mar. Under PROGRESS OVERRIDE A4220's remaining work runs from the data date, so A4300 falls back to its SNET of 16-Mar. If A4300 lands on the same date in both scenarios, the option is not implemented."
R0037,A4300,A4310,FS,0,,,
R0038,A4310,A4320,FS,0,,,
R0039,A4320,A4330,FS,0,,,
R0040,A4330,A4340,FS,0,,,
R0041,A4340,A4350,FS,0,,,
R0042,A4350,A4360,FS,-20,,rel_fs;lag_negative;lag_fs_negative;pathological,"NEGATIVE FS LAG (a 'lead'). Backfill may start 20h (2 days on CAL-02) before formwork stripping finishes. Sign convention: ES(succ) >= EF(pred) + lag, with lag = -20h."
R0043,A4210,A4400,FS,0,,,
R0044,A4300,A4400,FF,20,,rel_ff;lag_positive;lag_ff_positive,
R0045,A4400,A4410,FS,0,,,
R0046,A4410,A4420,FS,0,,,
R0047,A4420,A4430,FS,0,,,
R0048,A4430,A4440,FS,168,24H,rel_fs;lag_positive;lag_calendar_24h;lag_calendar_setting_sensitive,EXPLICIT 24-HOUR LAG CALENDAR. 168h = exactly 7 elapsed days regardless of the CAL-02 working pattern. This edge OVERRIDES the project-level lag calendar setting. If your model has no per-relationship lag calendar you cannot represent concrete cure correctly.
R0049,A4440,A4450,FS,0,,,
R0050,A4110,A4500,FS,0,,,
R0051,A4300,A4500,SS,40,,rel_ss;lag_positive;net_multiple_predecessors,
R0052,A4500,A4510,SS,0,,rel_ss;lag_zero;lag_ss_zero,
R0053,A4510,A4520,FF,0,,rel_ff;lag_zero;lag_ff_zero;net_dangling_start,"The ONLY link into A4520 is an FF, so nothing drives its start."
R0054,A4450,A4600,FS,0,,,
R0055,A4360,A4600,FS,0,,,
R0056,A4110,A4600,FS,0,,net_redundant_logic,REDUNDANT: A4110 already reaches A4600 transitively via A4200 -> A4210 -> A4400 -> ... -> A4450. Never driving; a redundancy report should list it.
R0057,A4360,A4999,FS,0,,,
R0058,A4450,A4999,FS,0,,,
R0059,A4520,A4999,FS,0,,,
R0060,A4600,A4999,FS,0,,,
R0061,A4350,A5100,FS,0,,,
R0062,A2300,A5100,FS,80,,rel_fs;lag_exceeds_pred_duration,"Lag (80h) is DOUBLE the predecessor's original duration (40h). Legal, but a good test of lag arithmetic that is anchored on the predecessor's FINISH rather than its start."
R0063,A5100,A5110,SS,80,,rel_ss;lag_positive;lag_ss_positive,
R0064,A5100,A5120,FF,0,,rel_ff;lag_zero;lag_ff_zero,
R0065,A5100,A5130,FS,0,,,
R0066,A5100,A5500,SS,40,,rel_ss;lag_positive;cal_night_crosses_midnight,"Predecessor on CAL-02 (07:00-17:30), successor on CAL-04 (20:00-06:00). The lag must be resolved on ONE of them, and the successor's start must then be snapped to the next NIGHT-SHIFT working instant."
R0067,A4440,A5200,FS,0,,,
R0068,A2310,A5200,FS,0,,,
R0069,A5200,A5210,SS,80,,rel_ss;lag_positive,
R0070,A5200,A5220,FF,0,,rel_ff;lag_zero,
R0071,A5200,A5230,FS,0,,,
R0072,A4350,A5300,FS,0,,,
R0073,A2300,A5300,FS,0,,,
R0074,A5110,A5400,FS,0,,,
R0075,A5120,A5400,FS,0,,,
R0076,A5210,A5400,FS,0,,,
R0077,A5220,A5400,FS,0,,,
R0078,A5500,A5400,FS,0,,,
R0079,A2110,A6000,FS,0,,,
R0080,A6000,A6100,FS,400,,rel_fs;lag_positive;lag_long,VERY LONG LAG (400h = 50 working days on CAL-01). Not driving - the crane resource calendar is - which is itself the test.
R0081,A2210,A6100,FS,0,,,
R0082,A5300,A6100,FS,0,,,
R0083,A6100,A6200,SS,0,,rel_ss;lag_zero;res_overallocation,Forces A6100 and A6200 to overlap while both demand the single 600t crane. Unlevelled = 200%%.
R0084,A2200,A6200,FS,0,,,
R0085,A6100,A6300,SS,80,,rel_ss;lag_positive;net_dangling_activity,
R0086,A2220,A6400,FS,0,,,
R0087,A5300,A6400,FS,0,,,
R0088,A6200,A6500,FS,0,,,
R0089,A6400,A6500,FS,0,,,
R0090,A6500,A6600,FS,0,,,
R0091,A5100,A7100,SS,50,,rel_ss;lag_positive;lag_ss_positive,
R0092,A2320,A7100,FS,0,,,
R0093,A7100,A7110,SS,0,,rel_ss;lag_zero,
R0094,A7100,A7120,FF,40,,rel_ff;lag_positive;lag_ff_positive,
R0095,A7100,A7130,FS,0,,,
R0096,A7110,A7130,FS,0,,,
R0097,A5200,A7200,SS,50,,rel_ss;lag_positive,
R0098,A2330,A7200,FS,0,,,
R0099,A7200,A7210,SS,0,,rel_ss;lag_zero,
R0100,A7200,A7220,FF,40,,rel_ff;lag_positive,
R0101,A7200,A7230,FS,0,,,
R0102,A7210,A7230,FS,0,,,
R0103,A6500,A7300,FS,0,,,
R0104,A6300,A7300,SS,0,,rel_ss;lag_zero;net_dangling_activity,
R0105,A7100,A7400,FF,0,,rel_ff;lag_zero,
R0106,A7200,A7400,FF,0,,rel_ff;lag_zero,
R0107,A7300,A7400,FF,0,,rel_ff;lag_zero,
R0108,A7400,A7550,FS,0,,net_zero_duration_task,
R0109,A7550,A7600,FS,0,,net_zero_duration_task,
R0110,A7120,A7600,FS,0,,,
R0111,A7220,A7600,FS,0,,,
R0112,A7130,A7600,FS,0,,,
R0113,A7230,A7600,FS,0,,,
R0114,A7600,A7700,FS,0,,,
R0115,A7600,A7730,FS,0,,res_overallocation;levelling_test,
R0116,A7700,A7710,FS,0,,,
R0117,A7710,A7720,FS,0,,,
R0118,A7720,A7740,FS,0,,,
R0119,A7730,A7740,FS,0,,,
R0120,A7740,A7500,FS,0,,,
R0121,A5130,A8000,FS,0,,,
R0122,A5230,A8000,FS,0,,,
R0123,A8000,A8010,SS,-40,,rel_ss;lag_negative;lag_ss_negative;pathological,"NEGATIVE SS LAG. ES(succ) >= ES(pred) - 40h, so the successor may start FOUR DAYS BEFORE its predecessor. Almost certainly a modelling error in the real world; here it is a deliberate sign-convention test."
R0124,A8000,A8020,SS,80,,rel_ss;lag_positive,
R0125,A8000,A8100,FS,0,,,
R0126,A7100,A8200,FF,40,,rel_ff;lag_positive,
R0127,A7200,A8200,FF,40,,rel_ff;lag_positive,
R0128,A2230,A8300,FS,40,,rel_fs;lag_positive;lag_calendar_setting_sensitive,Predecessor A2230 is on CAL-03 (24h). Successor A8300 is on CAL-01 (5-day) but is RESOURCE DEPENDENT on a MON-THU calendar. The 40h lag resolves to a different date under each 'calendar for relationship lag' setting: PREDECESSOR (24h) ~= +1.7 elapsed days; SUCCESSOR ~= +5 working days. This single edge is the best proof that the setting is actually wired up.
R0129,A8100,A8300,FS,0,,,
R0130,A8010,A8400,FS,0,,,
R0131,A8020,A8400,FS,0,,,
R0132,A8300,A8400,FS,0,,,
R0133,A8400,A8500,FS,0,,,
R0134,A8200,A8500,FS,0,,,
R0135,A8500,A8600,FS,0,,,
R0136,A8500,A8700,FS,0,,,
R0137,A5220,A9000,FF,-30,,rel_ff;lag_negative;lag_ff_negative;pathological,NEGATIVE FF LAG. EF(succ) >= EF(pred) - 30h. The successor may finish 3 days BEFORE the predecessor.
R0138,A5120,A9000,FS,0,,,
R0139,A7740,A9100,FS,0,,,
R0140,A8500,A9100,SS,80,,rel_ss;lag_positive,
R0141,A9100,A9200,SS,80,,rel_ss;lag_positive,
R0142,A9000,A9200,FS,0,,,
R0143,A9200,A9300,SS,40,,rel_ss;lag_positive,
R0144,A9200,A9400,FS,0,,,
R0145,A9300,A9400,FS,0,,,
R0146,A7400,A10000,FS,0,,,
R0147,A10000,A10100,FS,0,,con_mandatory_start;breaks_logic,This edge can be VIOLATED by A10100's Mandatory Start. That is the point.
R0148,A10100,A10200,FS,0,,,
R0149,A10200,A10300,FS,0,,,
R0150,A10300,A10400,FS,0,,,
R0151,A10400,A10500,FS,0,,con_mandatory_finish;breaks_logic,
R0152,A11100,A10450,SF,16,,rel_sf;lag_positive;lag_sf_positive,SF + POSITIVE LAG. EF(A10450) >= ES(A11100) + 16h.
R0153,A11200,A10460,SF,-8,,rel_sf;lag_negative;lag_sf_negative;pathological,SF + NEGATIVE LAG. EF(A10460) >= ES(A11200) - 8h. Pure sign-convention torture.
R0154,A10500,A10600,FS,0,,,
R0155,A8600,A11000,FS,0,,,
R0156,A9300,A11000,FS,0,,,
R0157,A10500,A11000,FS,0,,,
R0158,A11000,A11050,FS,0,,,
R0159,A7740,A11050,FS,0,,,
R0160,A11050,A11100,FS,0,,,
R0161,A11100,A11200,FS,24,,rel_fs;lag_positive;cal_24h,Both ends on CAL-03. A 24h lag here is exactly one elapsed day - verify it is not being converted through an 8h/day assumption somewhere.
R0162,A11000,A11300,FS,0,,,
R0163,A8700,A11300,FS,0,,,
R0164,A11100,A11400,FS,0,,,
R0165,A11200,A11400,FS,0,,,
R0166,A11400,A11500,FS,0,,,
R0167,A11300,A11500,FS,0,,,
R0168,A11300,A11600,FS,0,,,
R0169,A11500,A12000,FS,0,,net_merge_point,
R0170,A9400,A12000,FS,0,,net_merge_point,
R0171,A6600,A12000,FS,0,,net_merge_point,
R0172,A7500,A12000,FS,0,,net_merge_point,
R0173,A10600,A12000,FS,0,,net_merge_point,
R0174,A10450,A12000,FS,0,,net_merge_point,
R0175,A10460,A12000,FS,0,,net_merge_point,
R0176,A4999,A12000,FS,0,,net_merge_point,
R0177,A5400,A12000,FS,0,,net_merge_point,
R0178,A12000,A12100,FS,0,,,
R0179,A12000,A12200,FS,0,,,
R0180,A9500,A12200,FS,0,,net_open_start,
R0181,A12100,A12300,FS,0,,,
R0182,A12200,A12300,FS,0,,,
R0183,A11600,A12300,FS,0,,,
R0184,A12300,A12500,FS,0,,,
R0185,A12300,A12600,FS,0,,,
R0186,A12600,A12700,FS,0,,cal_long_nonwork_block,
R0187,A12500,A13000,FS,0,,,
R0188,A12600,A13000,FS,0,,,
